155	157	390	413	7
430	275	454	325	14
444	470	474	541	16
374	375	404	443	25
538	307	562	368	30
430	275	454	325	15
374	375	404	443	26
538	307	562	368	31
442	469	471	541	36
441	471	472	546	13
523	353	548	412	16
371	374	405	442	22
433	275	454	321	37
540	306	564	367	56
394	294	413	344	60
524	353	547	411	6
441	471	472	546	13
371	374	405	442	19
433	275	453	321	32
541	307	563	367	50
394	294	413	344	55
524	353	547	411	6
394	292	414	344	12
441	471	472	546	13
433	275	454	321	32
371	374	405	442	35
540	307	564	367	50
760	72	819	220	14
760	72	819	220	14
