153	38	639	460	7
79	70	639	477	1
139	293	171	374	5
56	313	92	411	15
139	293	171	374	5
56	313	92	411	15
54	313	93	411	1
140	292	171	373	14
140	293	172	373	13
113	297	149	377	14
55	321	95	413	16
140	293	171	373	12
110	299	143	377	13
55	321	95	413	15
140	293	171	373	12
110	299	143	377	13
55	321	95	413	15
140	293	171	373	12
110	299	143	377	13
55	321	95	413	15
414	457	519	699	1
425	151	483	321	6
555	129	620	289	7
495	276	562	451	8
180	497	377	714	9
685	0	771	36	10
414	457	519	699	1
425	151	483	321	6
555	129	620	289	7
495	276	562	451	8
180	497	377	714	9
684	0	772	37	10
414	457	519	699	1
425	151	483	321	6
555	129	620	289	7
495	276	562	451	8
180	497	377	714	9
684	0	772	37	10
