284	215	584	475	1
39	354	154	478	2
51	60	628	472	1
88	71	634	475	1
82	73	634	479	1
259	429	290	505	1
229	437	267	521	11
259	429	290	505	1
229	437	267	521	11
228	437	267	521	12
264	426	292	503	14
634	295	665	367	9
261	424	293	506	13
229	437	267	521	14
184	338	217	414	16
634	295	665	367	8
261	424	293	506	12
229	437	267	521	13
184	338	217	414	15
634	295	665	367	8
261	424	293	506	12
229	437	267	521	13
184	338	217	414	15
634	295	665	367	8
261	424	293	506	12
229	437	267	521	13
184	338	217	414	15
678	181	758	372	1
591	37	641	182	6
731	26	783	153	7
153	467	276	675	8
677	182	756	372	1
592	37	642	181	4
731	26	783	152	6
157	467	274	672	7
93	33	639	476	1
678	181	758	372	1
591	37	641	182	6
731	26	783	153	7
153	467	276	675	8
678	181	758	372	1
591	37	641	182	6
731	26	783	153	7
153	467	276	675	8
