285	215	586	474	1
35	351	153	479	2
75	61	639	478	1
86	71	636	477	1
64	70	622	479	1
243	393	276	473	1
213	407	247	485	11
655	275	695	357	14
243	393	276	473	1
213	407	247	485	11
655	275	695	357	14
213	407	247	485	12
245	392	275	473	14
655	275	695	357	15
658	276	696	357	9
244	392	276	473	13
213	407	247	485	14
161	326	202	416	16
658	276	696	357	8
244	392	276	473	12
214	407	247	485	13
161	326	202	416	15
658	276	696	357	8
244	392	276	473	12
214	407	247	485	13
161	326	202	416	15
658	276	696	357	8
244	392	276	473	12
214	407	247	485	13
161	326	202	416	15
652	214	729	402	1
571	53	619	198	6
698	40	754	174	7
214	425	327	634	8
652	214	729	401	1
571	55	619	199	4
698	41	755	175	6
218	425	328	634	7
77	30	633	478	1
652	214	729	402	1
571	53	619	198	6
698	40	754	174	7
214	425	327	634	8
652	214	729	402	1
571	53	619	198	6
698	40	754	174	7
214	425	327	634	8
