278	214	577	476	1
48	351	160	477	2
54	60	630	473	1
86	69	634	477	1
75	72	629	479	1
270	444	299	513	1
239	453	276	531	11
270	444	299	513	1
239	453	276	531	11
238	454	275	530	12
274	442	299	511	14
272	442	300	513	13
239	453	276	531	14
196	340	228	412	16
272	442	300	513	12
239	454	274	530	13
196	340	228	412	15
272	442	300	513	12
239	454	274	530	13
196	340	228	412	15
272	442	300	513	12
239	454	274	530	13
196	340	228	412	15
698	163	765	329	1
601	28	650	170	6
743	14	800	149	7
122	496	266	719	8
697	163	765	329	1
601	28	651	169	4
742	14	800	149	6
121	497	261	718	7
