22	354	139	479	2
71	64	639	479	1
167	323	196	392	5
138	326	172	407	11
77	324	108	413	15
167	323	196	392	5
138	326	172	407	11
77	324	108	413	15
74	324	109	413	1
138	326	172	407	12
169	322	196	390	14
84	309	106	363	7
169	322	196	390	13
138	326	173	407	14
74	328	110	410	16
169	322	196	390	12
138	326	172	407	13
74	327	111	411	15
169	322	196	390	12
138	326	172	407	13
74	327	111	411	15
169	322	196	390	12
138	326	172	407	13
74	327	111	411	15
478	387	579	627	1
462	126	518	290	6
589	106	650	261	7
436	307	507	484	8
101	553	277	716	9
