278	214	577	476	1
50	354	157	477	2
64	60	639	475	1
89	70	635	476	1
69	71	624	479	1
272	452	304	527	1
245	459	284	540	11
272	452	304	527	1
245	459	284	540	11
245	460	283	539	12
277	449	304	525	14
275	449	305	526	13
245	459	284	540	14
200	336	234	413	16
275	449	306	526	12
244	460	281	537	13
200	336	234	413	15
275	449	305	526	12
244	460	281	537	13
200	336	234	413	15
275	449	305	526	12
244	460	281	537	13
200	336	234	413	15
707	158	771	317	1
606	26	654	163	6
747	13	803	145	7
108	504	250	718	8
706	159	771	317	1
607	28	654	163	4
746	12	804	144	6
108	503	246	717	7
